SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,,,,
DEEPAKNTR,2439.7,2468.85,2420,2451.15,2448,,,,
DEEPENR,43,44.95,43,44.35,44.8,,,,
DEEPINDS,150.65,153.8,142.25,144.1,143.6,,,,
DELPHIFX,699.9,725,690,691.9,692,,,,
DELTACORP,223.5,233.8,222.2,230.4,229.5,,,,
DELTAMAGNT,54.25,54.4,51.9,53.45,53.55,,,,
DEN,49.7,52.05,49.7,51.35,51.1,,,,
DENORA,348,352.8,340,342.45,343.5,,,,
DEVIT,132,142,132,136.05,136.05,,,,
DEVYANI,116.9,121.95,116.05,119.55,119.7,,,,
DFMFOODS,349.8,368,342,365.05,363,,,,
DGCONTENT,12.4,12.4,11.85,12.15,12.15,,,,
DHAMPURSUG,298.7,305.6,295.6,302.55,304.25,,,,
DHANBANK,16.1,16.55,16,16.35,16.5,,,,
DHANI,198.25,205,196.55,197.35,197.1,,,,
DHANILOANS,1009,1012.7,1005,1010,1010,,,,
DHANILOANS,1264.2,1295,1264.2,1295,1295,,,,
DHANILOANS,1008,1008,1008,1008,1008,,,,
DHANILOANS,1020.1,1020.1,1020.1,1020.1,1020.1,,,,
DHANILOANS,985,985,985,985,985,,,,
DHANILOANS,1009.95,1010,1009.95,1010,1010,,,,
DHANIPP,88.85,88.85,86.05,86.7,86.6,,,,
DHANUKA,816,826,810,816.55,819.25,,,,
DHARSUGAR,17.2,18.95,17.15,18.95,18.95,,,,
DHUNINV,635.1,654.5,611.15,627.5,629,,,,
DIAMONDYD,661.85,710.55,661.4,696.2,697.5,,,,
DIAPOWER,1.25,1.25,1.25,1.25,1.25,,,,
DICIND,491,491,467.2,470.95,471.95,,,,
DIGISPICE,60.4,60.4,55.25,55.25,55.25,,,,
DISHTV,20.5,21.25,20.4,21.25,21.25,,,,
DIVISLAB,5125,5191.4,5071.8,5094.85,5088.95,,,,
DIXON,4324.4,4336.35,4263.05,4289.15,4289.95,,,,
DLF,341,345,341,342.3,341.95,,,,
DLINKINDIA,140.8,144.8,138.9,140,140.05,,,,
DMART,3970,4000,3964.9,3979.7,3978,,,,
DNAMEDIA,2.15,2.15,2,2.1,2.05,,,,
DODLA,540,542.35,535,535.9,537.5,,,,
DOLAT,93.05,96.15,90.45,94.9,94.75,,,,
DOLLAR,377.55,383.4,375.5,377.95,376.95,,,,
DONEAR,60,61.7,59.25,60.55,61,,,,
DPABHUSHAN,196.3,201.55,196.3,199.3,199.5,,,,
DPSCLTD,15.8,15.85,15.45,15.55,15.6,,,,
DPWIRES,245,245.2,237.1,245.2,245.2,,,,
DRCSYSTEMS,279,282.05,269.95,274.15,272.05,,,,
DREDGECORP,363.8,378,362.3,373.55,372,,,,
DRL,11.9,11.9,11.9,11.9,11.9,,,,
DRREDDY,4949.9,4989,4923.75,4930.75,4938.6,,,,
DSML,32.65,32.65,32.65,32.65,32.65,,,,
DSSL,128.35,128.35,125.15,126.5,126.95,,,,
DTIL,288.7,294.85,282.2,290.6,288.7,,,,
DUCON,10.9,11.15,10.75,10.85,10.9,,,,
DUDIGITAL,129.7,129.7,129.7,129.7,129.7,,,,
DVL,286.05,287.95,282.9,285.95,285.25,,,,
DWARKESH,68.2,71.3,67.55,70.4,71.2,,,,
DYNAMATECH,3238.7,3317,2991,3026.85,3007,,,,
DYNPRO,555.9,576.9,555.1,561.6,562.95,,,,
E2E,44.95,45.5,44.95,45.5,45.5,,,,
EASEMYTRIP,527.4,533.4,517,519.05,517.5,,,,
EASTSILK,3.95,3.95,3.8,3.8,3.85,,,,
EASUNREYRL,2.65,2.75,2.65,2.75,2.75,,,,
EBANK,4086.99,4087,3812,4020,4020,,,,
EBBETF0423,1151,1151,1149.55,1149.8,1149.55,,,,
EBBETF0425,1071.5,1071.5,1069.75,1069.98,1070,,,,
